q,best_s_min_fraction,best_s_min_float,best_rho,representative_m,representative_k_fraction,representative_L_over_R,representative_geometry_gap,all_best_m,all_best_k,score_varies_with_m
33,0/1,0.0,0,8,8/33,0.47620904208812875,0.023790957911871247,"8,7","8/33,7/33",False
34,0/1,0.0,0,9,9/34,0.5461341797316509,0.046134179731650904,"9,7","9/34,7/34",False
35,1/35,0.02857142857142857,1,9,9/35,0.5224324151752573,0.022432415175257292,"9,8","9/35,8/35",False
37,1/37,0.02702702702702703,1,9,9/37,0.47877939840192585,0.02122060159807415,"9,10,8,11","9/37,10/37,8/37,11/37",False
38,1/38,0.02631578947368421,1,9,9/38,0.4587103272638337,0.041289672736166294,"9,11","9/38,11/38",False
39,0/1,0.0,0,10,10/39,0.5201329700547075,0.02013297005470749,"10,11,8","10/39,11/39,8/39",False
40,0/1,0.0,0,9,9/40,0.4217827674798846,0.07821723252011542,"9,11","9/40,11/40",False
41,1/41,0.024390243902439025,1,10,10/41,0.48084863315498216,0.019151366845017836,"10,11,9,12","10/41,11/41,9/41,12/41",False
42,0/1,0.0,0,11,11/42,0.5373650467932122,0.037365046793212175,11,11/42,False
43,1/43,0.023255813953488372,1,11,11/43,0.5182610115288295,0.01826101152882953,"11,10,12,9","11/43,10/43,12/43,9/43",False
44,1/44,0.022727272727272728,1,9,9/44,0.3591337215792852,0.1408662784207148,"9,13","9/44,13/44",False
45,0/1,0.0,0,11,11/45,0.4825502516487495,0.017449748351250516,"11,13","11/45,13/45",False
46,1/46,0.021739130434782608,1,11,11/46,0.4658787933176644,0.03412120668233559,"11,13","11/46,13/46",False
47,1/47,0.02127659574468085,1,12,12/47,0.5167074885038372,0.016707488503837187,"12,11,13,10,14","12/47,11/47,13/47,10/47,14/47",False
48,1/48,0.020833333333333332,1,13,13/48,0.5652630961100256,0.06526309611002556,"13,11","13/48,11/48",False
49,1/49,0.02040816326530612,1,12,12/49,0.4839742112141724,0.01602578878582761,"12,13,11,10","12/49,13/49,11/49,10/49",False
50,1/50,0.02,1,13,13/50,0.5313952597646567,0.031395259764656736,"13,11","13/50,11/50",False
51,1/51,0.0196078431372549,1,13,13/51,0.515397529278085,0.01539752927808502,"13,14,11","13/51,14/51,11/51",False
52,1/52,0.019230769230769232,1,15,15/52,0.6196578321437787,0.11965783214377868,"15,11","15/52,11/52",False
53,1/53,0.018867924528301886,1,13,13/53,0.48518333608872,0.014816663911280004,"13,14,12,15,11","13/53,14/53,12/53,15/53,11/53",False
54,1/54,0.018518518518518517,1,13,13/54,0.4709275855447621,0.029072414455237894,"13,11","13/54,11/54",False
55,1/55,0.01818181818181818,1,14,14/55,0.5142780253968481,0.014278025396848082,"14,13,12,16","14/55,13/55,12/55,16/55",False
56,1/56,0.017857142857142856,1,15,15/56,0.5559822380516539,0.05598223805165392,"15,13","15/56,13/56",False
57,1/57,0.017543859649122806,1,14,14/57,0.486222828815919,0.013777171184081005,"14,13,16,17","14/57,13/57,16/57,17/57",False
58,1/58,0.017241379310344827,1,15,15/58,0.5270694542927088,0.027069454292708794,"15,13,17","15/58,13/58,17/58",False
59,1/59,0.01694915254237288,1,15,15/59,0.5133102607188873,0.013310260718887301,"15,14,16,13,17,12","15/59,14/59,16/59,13/59,17/59,12/59",False
60,1/60,0.016666666666666666,1,17,17/60,0.6039558454088795,0.10395584540887948,"17,13","17/60,13/60",False
61,1/61,0.01639344262295082,1,15,15/61,0.4871260431725057,0.012873956827494315,"15,16,14,17,13,18","15/61,16/61,14/61,17/61,13/61,18/61",False
62,1/62,0.016129032258064516,1,15,15/62,0.4746754155806436,0.025324584419356422,"15,17,13","15/62,17/62,13/62",False
63,1/63,0.015873015873015872,1,16,16/63,0.5124653458690365,0.01246534586903647,"16,17,13","16/63,17/63,13/63",False
64,1/64,0.015625,1,17,17/64,0.5490085701647803,0.04900857016478033,"17,15,19,13","17/64,15/64,19/64,13/64",False
65,1/65,0.015384615384615385,1,16,16/65,0.48791812738193385,0.012081872618066147,"16,17,18,14,19","16/65,17/65,18/65,14/65,19/65",False
66,1/66,0.015151515151515152,1,17,17/66,0.5237909579118712,0.023790957911871247,"17,19","17/66,19/66",False
67,1/67,0.014925373134328358,1,17,17/67,0.5117212868016303,0.011721286801630315,"17,16,18,15,19,14,20","17/67,16/67,18/67,15/67,19/67,14/67,20/67",False
68,1/68,0.014705882352941176,1,15,15/68,0.4081252410917148,0.09187475890828523,"15,19","15/68,19/68",False
69,1/69,0.014492753623188406,1,17,17/69,0.4886184010719472,0.011381598928052794,"17,16,19,20,14","17/69,16/69,19/69,20/69,14/69",False
70,1/70,0.014285714285714285,1,17,17/70,0.4775675848247425,0.022432415175257514,"17,19","17/70,19/70",False
71,1/71,0.014084507042253521,1,18,18/71,0.5110610435765934,0.011061043576593432,"18,17,19,16,20,15,21","18/71,17/71,19/71,16/71,20/71,15/71,21/71",False
72,1/72,0.013888888888888888,1,19,19/72,0.5435778713738292,0.04357787137382918,"19,17","19/72,17/72",False
73,2/73,0.0273972602739726,2,16,16/73,0.403774209014585,0.096225790985415,16,16/73,True
74,1/74,0.013513513513513514,1,19,19/74,0.5212206015980742,0.02122060159807415,"19,17,21,15","19/74,17/74,21/74,15/74",False
75,1/75,0.013333333333333334,1,19,19/75,0.5104712099416785,0.010471209941678494,"19,17,16,22","19/75,17/75,16/75,22/75",False
76,1/38,0.02631578947368421,2,21,21/76,0.582297295140367,0.08229729514036699,21,21/76,True
77,1/77,0.012987012987012988,1,19,19/77,0.4898007313042973,0.010199268695702701,"19,20,18,17,16,23","19/77,20/77,18/77,17/77,16/77,23/77",False
78,1/39,0.02564102564102564,2,19,19/78,0.4798670299452924,0.0201329700547076,19,19/78,True
79,1/79,0.012658227848101266,1,20,20/79,0.509941093832535,0.009941093832535053,"20,19,21,18,22,17,23,16","20/79,19/79,21/79,18/79,22/79,17/79,23/79,16/79",False
80,1/80,0.0125,1,21,21/80,0.5392295478639225,0.03922954786392252,"21,19,23,17","21/80,19/80,23/80,17/80",False
81,1/81,0.012345679012345678,1,20,20/81,0.49030433411408775,0.009695665885912252,"20,19,22,23,17","20/81,19/81,22/81,23/81,17/81",False
82,1/41,0.024390243902439025,2,17,17/82,0.3675092489016691,0.13249075109833092,17,17/82,True
83,2/83,0.024096385542168676,2,20,20/83,0.47162736345346284,0.028372636546537155,"20,19","20/83,19/83",True
84,1/42,0.023809523809523808,2,25,25/84,0.6473775872054521,0.14737758720545213,25,25/84,True
85,2/85,0.023529411764705882,2,23,23/85,0.5644996082651016,0.0644996082651016,23,23/85,True
86,1/86,0.011627906976744186,1,21,21/86,0.4817389884711704,0.018261011528829585,"21,23,19,25","21/86,23/86,19/86,25/86",False
87,2/87,0.022988505747126436,2,19,19/87,0.40134832548679994,0.09865167451320006,19,19/87,True
88,1/44,0.022727272727272728,2,19,19/88,0.3937173552235117,0.1062826447764883,19,19/88,True
89,2/89,0.02247191011235955,2,25,25/89,0.5964630327047484,0.09646303270474843,25,25/89,True
90,1/45,0.022222222222222223,2,23,23/90,0.5174497483512503,0.01744974835125035,23,23/90,True
91,2/91,0.02197802197802198,2,22,22/91,0.4741193235578952,0.02588067644210479,"22,20","22/91,20/91",True
92,1/46,0.021739130434782608,2,21,21/92,0.43191667545187656,0.06808332454812344,"21,19","21/92,19/92",True
93,2/93,0.021505376344086023,2,22,22/93,0.45782446697847756,0.04217553302152244,"22,19","22/93,19/93",True
94,1/94,0.010638297872340425,1,23,23/94,0.4832925114961626,0.01670748850383741,"23,25,21,27,19","23/94,25/94,21/94,27/94,19/94",False
95,1/95,0.010526315789473684,1,24,24/95,0.5082669723831793,0.008266972383179305,"24,23,22,26,21,27,28","24/95,23/95,22/95,26/95,21/95,27/95,28/95",False
96,1/96,0.010416666666666666,1,23,23/96,0.46729843538492843,0.032701564615071566,"23,25","23/96,25/96",False
97,2/97,0.020618556701030927,2,23,23/97,0.45955977981929785,0.04044022018070215,"23,26,21","23/97,26/97,21/97",True
98,1/49,0.02040816326530612,2,25,25/98,0.5160257887858276,0.01602578878582761,"25,27","25/98,27/98",True
99,2/99,0.020202020202020204,2,23,23/99,0.4445809000494945,0.05541909995050548,"23,28,29","23/99,28/99,29/99",True
100,1/50,0.02,2,27,27/100,0.5626666167821522,0.06266661678215224,27,27/100,True
101,2/101,0.019801980198019802,2,26,26/101,0.5233201951937088,0.02332019519370876,"26,30","26/101,30/101",True
102,1/51,0.0196078431372549,2,25,25/102,0.48460247072191476,0.015397529278085242,25,25/102,True
103,2/103,0.019417475728155338,2,29,29/103,0.598479821743353,0.09847982174335301,"29,21","29/103,21/103",True
104,1/52,0.019230769230769232,2,29,29/104,0.5901275189069529,0.09012751890695292,"29,31","29/104,31/104",True
105,1/35,0.02857142857142857,3,29,29/105,0.5819089557075688,0.08190895570756884,"29,23","29/105,23/105",True
106,1/53,0.018867924528301886,2,27,27/106,0.5148166639112799,0.014816663911279893,"27,31","27/106,31/106",True
107,2/107,0.018691588785046728,2,26,26/107,0.47798660859367614,0.022013391406323857,"26,29,24,31","26/107,29/107,24/107,31/107",True
108,1/54,0.018518518518518517,2,29,29/108,0.5580464570626152,0.05804645706261524,"29,23","29/108,23/108",True
109,2/109,0.01834862385321101,2,28,28/109,0.521609730004187,0.021609730004186978,"28,25,24","28/109,25/109,24/109",True
110,1/55,0.01818181818181818,2,27,27/110,0.48572197460315186,0.014278025396848137,"27,23","27/110,23/110",True
111,1/37,0.02702702702702703,3,23,23/111,0.36717646444456187,0.13282353555543813,23,23/111,True
112,3/112,0.026785714285714284,3,27,27/112,0.47196477638140405,0.02803522361859595,27,27/112,True
113,2/113,0.017699115044247787,2,27,27/113,0.4652758424637271,0.03472415753627289,"27,30,31,32,23","27/113,30/113,31/113,32/113,23/113",True
114,1/38,0.02631578947368421,3,25,25/114,0.4041446840381308,0.09585531596186919,25,25/114,True
115,3/115,0.02608695652173913,3,28,28/115,0.4795170856581929,0.0204829143418071,28,28/115,True
116,1/58,0.017241379310344827,2,27,27/116,0.44594049078802905,0.054059509211970946,"27,25","27/116,25/116",True
117,2/117,0.017094017094017096,2,28,28/117,0.4664611778044988,0.033538822195501194,28,28/117,True
118,3/118,0.025423728813559324,3,27,27/118,0.433637236358139,0.066362763641861,27,27/118,True
119,3/119,0.025210084033613446,3,29,29/119,0.48020522078686523,0.019794779213134772,"29,26","29/119,26/119",True
120,1/40,0.025,3,29,29/120,0.47383202187852796,0.026167978121472035,29,29/120,True
121,3/121,0.024793388429752067,3,34,34/121,0.5967492612770999,0.09674926127709993,"34,25,36","34/121,25/121,36/121",True
122,3/122,0.02459016393442623,3,33,33/122,0.5641991775732754,0.06419917757327542,33,33/122,True
123,1/41,0.024390243902439025,3,34,34/123,0.5826287640548424,0.08262876405484243,34,34/123,True
124,1/62,0.016129032258064516,2,29,29/124,0.4494158390062839,0.0505841609937161,"29,37","29/124,37/124",True
125,3/125,0.024,3,27,27/125,0.3939964450389727,0.10600355496102731,27,27/125,True
126,1/63,0.015873015873015872,2,31,31/126,0.4875346541309634,0.012465345869036581,31,31/126,True
127,3/127,0.023622047244094488,3,29,29/127,0.43218306081318725,0.06781693918681275,"29,35","29/127,35/127",True
128,1/64,0.015625,2,29,29/128,0.4266347627723191,0.0733652372276809,29,29/128,True
129,2/129,0.015503875968992248,2,35,35/129,0.5667718591596991,0.06677185915969908,35,35/129,True
130,1/65,0.015384615384615385,2,33,33/130,0.512081872618066,0.012081872618066036,"33,27","33/130,27/130",True
131,3/131,0.022900763358778626,3,31,31/131,0.4580814204809617,0.041918579519038324,"31,30,39","31/131,30/131,39/131",True
132,1/44,0.022727272727272728,3,29,29/132,0.4053743778197949,0.0946256221802051,29,29/132,True
133,3/133,0.022556390977443608,3,34,34/133,0.5177120415810269,0.017712041581026905,"34,36","34/133,36/133",True
134,2/67,0.029850746268656716,4,37,37/134,0.5816886809092652,0.08168868090926518,37,37/134,True
135,1/45,0.022222222222222223,3,32,32/135,0.4593206626660708,0.0406793373339292,"32,38,28","32/135,38/135,28/135",True
136,3/136,0.022058823529411766,3,35,35/136,0.5230917293228697,0.023091729322869736,35,35/136,True
137,4/137,0.029197080291970802,4,30,30/137,0.4031577737500017,0.09684222624999828,30,30/137,True
138,1/46,0.021739130434782608,3,37,37/138,0.5567900930252375,0.05679009302523752,"37,41","37/138,41/138",True
139,3/139,0.02158273381294964,3,30,30/139,0.3934664047846155,0.10653359521538452,30,30/139,True
140,1/35,0.02857142857142857,4,29,29/140,0.36698157721666236,0.13301842278333764,29,29/140,True
141,4/141,0.028368794326241134,4,34,34/141,0.47216340133752577,0.027836598662474232,34,34/141,True
142,3/142,0.02112676056338028,3,33,33/142,0.444803002292365,0.055196997707634976,"33,31,29","33/142,31/142,29/142",True
143,2/143,0.013986013986013986,2,35,35/143,0.48352609747253966,0.016473902527460338,"35,37,38,32,31,30,29","35/143,37/143,38/143,32/143,31/143,30/143,29/143",True
144,1/48,0.020833333333333332,3,37,37/144,0.5218096936826679,0.02180969368266794,"37,35","37/144,35/144",True
145,3/145,0.020689655172413793,3,37,37/145,0.5162467568498902,0.016246756849890187,"37,41,42","37/145,41/145,42/145",True
146,3/146,0.02054794520547945,3,41,41/146,0.596225790985415,0.09622579098541495,41,41/146,True
147,1/49,0.02040816326530612,3,41,41/147,0.5903296393031994,0.09032963930319937,"41,43","41/147,43/147",True
148,3/148,0.02027027027027027,3,35,35/148,0.45759703776224536,0.04240296223775464,"35,31","35/148,31/148",True
149,4/149,0.026845637583892617,4,36,36/149,0.4736565600073603,0.026343439992639717,36,36/149,True
150,2/75,0.02666666666666667,4,31,31/150,0.3655400896923671,0.13445991030763288,31,31/150,True
151,4/151,0.026490066225165563,4,33,33/151,0.40181725031611787,0.09818274968388213,33,33/151,True
152,1/38,0.02631578947368421,4,37,37/152,0.47933751287559345,0.020662487124406548,37,37/152,True
153,4/153,0.026143790849673203,4,35,35/153,0.4334647689917732,0.06653523100822678,"35,43","35/153,43/153",True
154,3/154,0.01948051948051948,3,43,43/154,0.5912849104196809,0.0912849104196809,43,43/154,True
155,4/155,0.025806451612903226,4,34,34/155,0.4043191847634468,0.0956808152365532,34,34/155,True
156,1/39,0.02564102564102564,4,43,43/156,0.5802056404288801,0.08020564042888012,43,43/156,True
157,3/157,0.01910828025477707,3,40,40/157,0.5150053548938557,0.015005354893855682,"40,36,34,46,32","40/157,36/157,34/157,46/157,32/157",True
158,2/79,0.02531645569620253,4,47,47/158,0.6469251371689604,0.14692513716896038,47,47/158,True
159,4/159,0.025157232704402517,4,43,43/159,0.5640385602961634,0.0640385602961634,43,43/159,True
160,1/40,0.025,4,39,39/160,0.48037009212046566,0.019629907879534336,39,39/160,True
161,3/161,0.018633540372670808,3,41,41/161,0.5146326588692436,0.014632658869243587,"41,48","41/161,48/161",True
162,2/81,0.024691358024691357,4,37,37/162,0.43233435012493443,0.06766564987506557,"37,35","37/162,35/162",True
163,5/163,0.03067484662576687,5,45,45/163,0.5815467774709313,0.08154677747093131,45,45/163,True
164,3/164,0.018292682926829267,3,45,45/164,0.5763246421094371,0.07632464210943712,45,45/164,True
165,1/55,0.01818181818181818,3,37,37/165,0.4194329697045679,0.08056703029543211,"37,46,49","37/165,46/165,49/165",True
166,3/166,0.018072289156626505,3,45,45/166,0.566044820820851,0.06604482082085095,"45,47,49","45/166,47/166,49/166",True
167,4/167,0.023952095808383235,4,47,47/167,0.598121670517393,0.09812167051739296,47,47/167,True
168,1/56,0.017857142857142856,3,43,43/168,0.5186955971381627,0.018695597138162712,"43,41,37","43/168,41/168,37/168",True
169,5/169,0.029585798816568046,5,37,37/169,0.4030246583666436,0.09697534163335642,"37,35","37/169,35/169",True
170,1/34,0.029411764705882353,5,41,41/170,0.47229426254201495,0.027705737457985047,41,41/170,True
171,4/171,0.023391812865497075,4,44,44/171,0.5229567852199858,0.022956785219985787,"44,37","44/171,37/171",True
172,3/172,0.01744186046511628,3,35,35/172,0.35595045031738115,0.14404954968261885,35,35/172,True
173,4/173,0.023121387283236993,4,41,41/173,0.4591865952927872,0.040813404707212786,"41,38","41/173,38/173",True
174,2/87,0.022988505747126436,4,47,47/174,0.5630248556101446,0.06302485561014459,47,47/174,True
175,4/175,0.022857142857142857,4,52,52/175,0.6459473961005167,0.14594739610051666,52,52/175,True
176,1/44,0.022727272727272728,4,45,45/176,0.5178461669194901,0.017846166919490147,45,45/176,True
177,1/59,0.01694915254237288,3,43,43/177,0.4778208911106717,0.02217910888932828,"43,46,47,49,50,37","43/177,46/177,47/177,49/177,50/177,37/177",True
178,5/178,0.028089887640449437,5,43,43/178,0.47353827293991846,0.02646172706008154,"43,39","43/178,39/178",True
179,5/179,0.027932960893854747,5,37,37/179,0.3656527885104979,0.13434721148950213,37,37/179,True
180,1/60,0.016666666666666666,3,43,43/180,0.4651217631279373,0.03487823687206271,43,43/180,True
181,5/181,0.027624309392265192,5,50,50/181,0.5820720215572377,0.0820720215572377,50,50/181,True
182,3/182,0.016483516483516484,3,43,43/182,0.4568998100596902,0.043100189940309785,"43,37","43/182,37/182",True
183,5/183,0.0273224043715847,5,40,40/183,0.4019287292859015,0.09807127071409849,40,40/183,True
184,1/46,0.021739130434782608,4,47,47/184,0.5170705550929839,0.01707055509298394,47,47/184,True
185,1/37,0.02702702702702703,5,51,51/185,0.5803130851610887,0.0803130851610887,"51,52","51/185,52/185",True
186,1/62,0.016129032258064516,3,41,41/186,0.40763697199140525,0.09236302800859475,"41,55","41/186,55/186",True
187,5/187,0.026737967914438502,5,41,41/187,0.40400005358498986,0.09599994641501014,41,41/187,True
188,5/188,0.026595744680851064,5,43,43/188,0.4333565223131105,0.0666434776868895,43,43/188,True
189,5/189,0.026455026455026454,5,46,46/189,0.47922825031808663,0.020771749681913365,46,46/189,True
190,2/95,0.021052631578947368,4,51,51/190,0.5577423184847932,0.057742318484793165,"51,53,41","51/190,53/190,41/190",True
191,4/191,0.020942408376963352,4,46,46/191,0.47123167057691445,0.028768329423085548,"46,42,54,40,39","46/191,42/191,54/191,40/191,39/191",True
192,1/32,0.03125,6,53,53/192,0.5814477366972943,0.08144773669729433,53,53/192,True
193,5/193,0.025906735751295335,5,47,47/193,0.47965851271889576,0.020341487281104242,"47,40","47/193,40/193",True
194,3/194,0.015463917525773196,3,45,45/194,0.4434430869023579,0.0565569130976421,"45,55,41","45/194,55/194,41/194",True
195,1/39,0.02564102564102564,5,47,47/195,0.4718211580221813,0.028178841977818725,"47,58","47/195,58/195",True
196,5/196,0.025510204081632654,5,53,53/196,0.5639385808422531,0.06393858084225312,"53,43","53/196,43/196",True
197,5/197,0.025380710659898477,5,48,48/197,0.48007131672074477,0.019928683279255233,"48,45","48/197,45/197",True
198,1/33,0.030303030303030304,6,41,41/198,0.36676309315498257,0.13323690684501743,41,41/198,True
199,6/199,0.03015075376884422,6,48,48/199,0.4723869844477459,0.027613015552254094,48,48/199,True
200,1/50,0.02,4,49,49/200,0.48429462046093585,0.015705379539064146,"49,51","49/200,51/200",True
