folder_l,data_index,matrix_type,channel,target_uW,target_W,effective_target_W,n_points,mean_W,std_W,min_W,max_W,file_name,file_path
1,16,full,6,0.011,1.1e-08,1.1e-08,65,1.1e-08,2.3858708195599767e-10,1.058912364545117e-08,1.1427868168676567e-08,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT16.CSV
1,17,full,7,0.003,3e-09,3e-09,86,3e-09,2.9463487753842095e-10,2.479253098742815e-09,3.4397966824198413e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT17.CSV
1,18,full,8,0.003,3e-09,3e-09,80,3.0000000000000004e-09,1.1886237059179058e-10,2.7594616959440493e-09,3.2481300049902136e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=1\DAT18.CSV
2,1,calib,0,0.04,4e-08,4e-08,81,4e-08,1.2153367075268577e-09,3.797340167656373e-08,4.2203832249559224e-08,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT01.CSV
2,2,calib,1,0.1389,1.3889999999999998e-07,1.3889999999999998e-07,64,1.3889999999999998e-07,2.5066146922991037e-09,1.3397152493175368e-07,1.4307582542298623e-07,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT02.CSV
2,3,calib,2,44.3,4.429999999999999e-05,4.429999999999999e-05,77,4.429999999999999e-05,7.879344425027557e-07,4.2916529406856156e-05,4.6361416412209245e-05,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT03.CSV
2,4,calib,3,0.203,2.03e-07,2.03e-07,60,2.03e-07,4.5463972322708095e-09,1.9405819217960477e-07,2.1208305501376052e-07,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT04.CSV
2,5,calib,4,0.129,1.29e-07,1.29e-07,97,1.29e-07,4.1107568118190624e-09,1.1849953815458759e-07,1.355177107617746e-07,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT05.CSV
2,6,calib,5,0.006,6e-09,6e-09,68,6e-09,1.1121408916429579e-10,5.839914615419106e-09,6.21098099884408e-09,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT06.CSV
2,7,calib,6,0.001,1e-09,1e-09,68,1e-09,1.16465433288302e-10,7.660434147032864e-10,1.2584710529244278e-09,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT07.CSV
2,8,calib,7,0.0,0.0,1.1987385538974308e-10,64,1.1987385538974308e-10,3.851165767106481e-12,1.125128750626186e-10,1.285008590807543e-10,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT08.CSV
2,9,calib,8,0.0,0.0,1.2750618370405923e-10,71,1.2750618370405923e-10,1.1351763148683067e-11,1.1005669478033172e-10,1.5015048973720317e-10,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT09.CSV
2,10,full,0,0.007,7e-09,7e-09,74,7.000000000000001e-09,1.5640909581138788e-10,6.733897240898137e-09,7.3691868729267166e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT10.CSV
2,11,full,1,0.003,3e-09,3e-09,96,3e-09,3.3685133305956775e-10,2.3782786164775897e-09,3.6310729615873186e-09,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT11.CSV
2,12,full,2,1.58,1.58e-06,1.58e-06,64,1.58e-06,4.530145619982997e-09,1.5723062325337514e-06,1.588253955263123e-06,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT12.CSV
2,13,full,3,0.01,1e-08,1e-08,78,1e-08,1.7510840077133094e-10,9.66193220128718e-09,1.0272764891324434e-08,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT13.CSV
2,14,full,4,0.001,1e-09,1e-09,61,1e-09,5.594144931000843e-11,9.136673283038294e-10,1.085139837978003e-09,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT14.CSV
2,15,full,5,0.002,2e-09,2e-09,74,2e-09,2.0423328728903505e-10,1.679036013402132e-09,2.400308205695758e-09,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT15.CSV
2,16,full,6,0.01,1e-08,1e-08,93,1e-08,1.325861304484765e-10,9.729128188094534e-09,1.0236453838305196e-08,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT16.CSV
2,17,full,7,0.008,8e-09,8e-09,64,8e-09,1.1975620425124258e-10,7.769300585568896e-09,8.250432592169027e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT17.CSV
2,18,full,8,0.002,2e-09,2e-09,74,2e-09,2.472186665328128e-10,1.5705720681235114e-09,2.379429525310471e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=2\DAT18.CSV
3,1,calib,0,0.001,1e-09,1e-09,87,1e-09,3.685662463376524e-11,9.239870296928657e-10,1.0540727884318009e-09,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT01.CSV
3,2,calib,1,0.184,1.8399999999999998e-07,1.8399999999999998e-07,65,1.8399999999999998e-07,3.5435541206249283e-09,1.7703799747113377e-07,1.9001907924038122e-07,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT02.CSV
3,3,calib,2,0.129,1.29e-07,1.29e-07,67,1.29e-07,1.8773489722659046e-09,1.2561074255837266e-07,1.3278409575663016e-07,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT03.CSV
3,4,calib,3,40.6,4.06e-05,4.06e-05,61,4.06e-05,8.331096097024715e-07,3.9167461737535745e-05,4.200256204895219e-05,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT04.CSV
3,5,calib,4,0.202,2.02e-07,2.02e-07,101,2.02e-07,6.557129419783641e-09,1.8810018237827093e-07,2.1639879515983634e-07,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT05.CSV
3,6,calib,5,0.185,1.85e-07,1.85e-07,109,1.85e-07,2.588916310364349e-09,1.8065295687842912e-07,1.8981146961897408e-07,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT06.CSV
3,7,calib,6,0.007,7e-09,7e-09,65,7e-09,7.868425028127115e-11,6.8406656434727475e-09,7.142166483404151e-09,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT07.CSV
3,8,calib,7,0.002,2e-09,2e-09,102,2e-09,2.2128919951958298e-10,1.5462633831724622e-09,2.4512560529220793e-09,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT08.CSV
3,9,calib,8,0.0,0.0,1.4517156715339693e-10,100,1.4517156715339693e-10,1.1714942402752365e-11,1.2702940259122866e-10,1.7032334817775313e-10,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT09.CSV
3,10,full,0,0.004,4e-09,4e-09,76,4e-09,1.5327665962086696e-10,3.777622164128133e-09,4.287611377687718e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT10.CSV
3,11,full,1,0.02,2e-08,2e-08,87,2e-08,9.026988424944151e-10,1.8378797253773106e-08,2.1906794444775332e-08,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT11.CSV
3,12,full,2,0.003,3e-09,3e-09,81,3e-09,2.964080616308986e-10,2.353408941183744e-09,3.5036380151822594e-09,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT12.CSV
3,13,full,3,1.21,1.2099999999999998e-06,1.2099999999999998e-06,69,1.2099999999999998e-06,3.302579564407017e-08,1.1507752428098984e-06,1.269123000669383e-06,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT13.CSV
3,14,full,4,0.005,5e-09,5e-09,89,5e-09,1.630846977857534e-10,4.633670473180167e-09,5.28119386034577e-09,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT14.CSV
3,15,full,5,0.001,1e-09,1e-09,94,1e-09,7.238026177345592e-11,8.653645481393329e-10,1.0932103165164068e-09,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT15.CSV
3,16,full,6,0.001,1e-09,1e-09,71,1e-09,1.1682740408671567e-10,7.829522564072623e-10,1.1921704428175616e-09,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT16.CSV
3,17,full,7,0.007,7e-09,7e-09,110,7.000000000000001e-09,1.2881606509561455e-10,6.67961511589453e-09,7.1491885141510615e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT17.CSV
3,18,full,8,0.007,7e-09,7e-09,87,7e-09,2.6994083075360106e-10,6.404436533437786e-09,7.627203544584851e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=3\DAT18.CSV
4,1,calib,0,0.0,0.0,2.0983657152146336e-10,104,2.0983657152146336e-10,1.2413469730853957e-11,1.89480378300277e-10,2.397403990026816e-10,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT01.CSV
4,2,calib,1,0.008,8e-09,8e-09,97,8e-09,1.8957168547813677e-10,7.625058380264912e-09,8.367661836924948e-09,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT02.CSV
4,3,calib,2,0.334,3.34e-07,3.34e-07,93,3.34e-07,1.0207954991692175e-09,3.325019074510115e-07,3.3613366031837255e-07,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT03.CSV
4,4,calib,3,0.601,6.009999999999999e-07,6.009999999999999e-07,70,6.009999999999999e-07,3.944946187560666e-09,5.941541160035326e-07,6.082359614153486e-07,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT04.CSV
4,5,calib,4,38.4,3.84e-05,3.84e-05,82,3.84e-05,3.800484231605687e-07,3.787606267783003e-05,3.927465826749559e-05,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT05.CSV
4,6,calib,5,0.102,1.0199999999999999e-07,1.0199999999999999e-07,82,1.02e-07,1.5803606908485517e-09,9.868073413527175e-08,1.0469812532170917e-07,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT06.CSV
4,7,calib,6,0.26,2.6e-07,2.6e-07,109,2.6e-07,4.9275460558696385e-09,2.4882068990392226e-07,2.6862414859295455e-07,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT07.CSV
4,8,calib,7,0.006,6e-09,6e-09,110,6e-09,1.731548708411729e-10,5.621532683235693e-09,6.3048340690003396e-09,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT08.CSV
4,9,calib,8,0.004,4e-09,4e-09,83,4e-09,3.673821156609114e-10,3.1941697308250086e-09,4.635542955544107e-09,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT09.CSV
4,10,full,0,0.024,2.4e-08,2.4e-08,92,2.4e-08,9.469216624809961e-10,2.1990689403663148e-08,2.577122147711063e-08,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT10.CSV
4,11,full,1,0.01,1e-08,1e-08,100,1e-08,3.899697108657277e-10,9.272410319372804e-09,1.0778765695297786e-08,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT11.CSV
4,12,full,2,0.025,2.5e-08,2.5e-08,101,2.5e-08,1.0143903710007242e-09,2.297323135172304e-08,2.7015339049162645e-08,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT12.CSV
4,13,full,3,0.001,1e-09,1e-09,104,1e-09,4.7791840822608494e-11,9.031446713629621e-10,1.09506250864282e-09,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT13.CSV
4,14,full,4,0.963,9.63e-07,9.63e-07,60,9.63e-07,1.1468115410564474e-08,9.461394836049032e-07,9.82541509924387e-07,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT14.CSV
4,15,full,5,0.007,7e-09,7e-09,69,7e-09,2.568912898252202e-10,6.5779831350587555e-09,7.552380744630456e-09,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT15.CSV
4,16,full,6,0.002,2e-09,2e-09,99,2e-09,1.6623031687745053e-10,1.6807771037802828e-09,2.311227902057463e-09,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT16.CSV
4,17,full,7,0.001,1e-09,1e-09,76,1e-09,8.407389408339914e-11,8.338548367047944e-10,1.1510156058515036e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT17.CSV
4,18,full,8,0.008,8e-09,8e-09,74,8e-09,3.163240596191603e-10,7.328534695949073e-09,8.55396654327951e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=4\DAT18.CSV
5,1,calib,0,0.0,0.0,1.142553360213453e-10,99,1.142553360213453e-10,6.798662613789077e-12,1.0128366019941008e-10,1.2845066827870972e-10,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT01.CSV
5,2,calib,1,0.001,1e-09,1e-09,89,1e-09,5.883468325206884e-11,8.899436968318568e-10,1.124046108383965e-09,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT02.CSV
5,3,calib,2,0.016,1.6e-08,1.6e-08,88,1.6e-08,7.436507960645602e-10,1.4640820013553266e-08,1.7695882077703127e-08,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT03.CSV
5,4,calib,3,0.422,4.2199999999999994e-07,4.2199999999999994e-07,102,4.2199999999999994e-07,1.3674404262086963e-08,3.9560145757198617e-07,4.4766041000105983e-07,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT04.CSV
5,5,calib,4,0.401,4.01e-07,4.01e-07,69,4.01e-07,5.940475004330757e-09,3.8887034865490073e-07,4.1307750825591227e-07,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT05.CSV
5,6,calib,5,31.5,3.15e-05,3.15e-05,73,3.15e-05,1.1903680939073233e-06,2.9332084686653448e-05,3.3248828585827335e-05,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT06.CSV
5,7,calib,6,0.177,1.7699999999999998e-07,1.7699999999999998e-07,82,1.7699999999999998e-07,3.205373155249973e-09,1.7044691904001597e-07,1.8281808168961615e-07,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT07.CSV
5,8,calib,7,0.292,2.9199999999999997e-07,2.9199999999999997e-07,108,2.9199999999999997e-07,3.419306898029384e-09,2.8538736806335274e-07,2.985103514641077e-07,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT08.CSV
5,9,calib,8,0.011,1.1e-08,1.1e-08,108,1.1e-08,1.932361831918308e-10,1.0607150096068364e-08,1.1342792559197787e-08,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT09.CSV
5,10,full,0,0.024,2.4e-08,2.4e-08,100,2.4e-08,3.971724962489181e-10,2.2998721990452003e-08,2.4807449925093107e-08,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT10.CSV
5,11,full,1,0.033,3.3e-08,3.3e-08,67,3.3e-08,6.624262120498718e-10,3.181137753536533e-08,3.390278200064247e-08,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT11.CSV
5,12,full,2,0.009,9e-09,9e-09,96,9e-09,1.1296518414046946e-10,8.766679666598929e-09,9.272248907375961e-09,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT12.CSV
5,13,full,3,0.028,2.8e-08,2.8e-08,73,2.8e-08,3.751101579571009e-10,2.716234919603666e-08,2.8550403848872697e-08,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT13.CSV
5,14,full,4,0.001,1e-09,1e-09,74,1e-09,6.750332152975008e-11,8.789392642855589e-10,1.16330367474378e-09,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT14.CSV
5,15,full,5,0.706,7.059999999999999e-07,7.059999999999999e-07,83,7.059999999999999e-07,1.602860427102629e-08,6.722250564831971e-07,7.31204283605329e-07,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT15.CSV
5,16,full,6,0.006,6e-09,6e-09,110,6e-09,7.005487124170731e-11,5.843598385642826e-09,6.113371548313827e-09,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT16.CSV
5,17,full,7,0.003,3e-09,3e-09,83,2.9999999999999996e-09,9.933522738545638e-11,2.764098909901855e-09,3.1818293395370857e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT17.CSV
5,18,full,8,0.0,0.0,4.650814964344943e-11,92,4.650814964344943e-11,5.038340367732565e-12,3.531229320245168e-11,5.678932817082071e-11,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=5\DAT18.CSV
6,1,calib,0,0.0,0.0,3.5856409940021445e-11,69,3.5856409940021445e-11,4.684198377310744e-12,2.6721033254485212e-11,4.3860395419118845e-11,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT01.CSV
6,2,calib,1,0.001,1e-09,1e-09,76,1e-09,9.025114069992004e-11,8.549573262897447e-10,1.193134590629975e-09,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT02.CSV
6,3,calib,2,0.002,2e-09,2e-09,82,2e-09,1.14606797008232e-10,1.8176688443706855e-09,2.276664999631128e-09,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT03.CSV
